row_number	subject_code	subject_age	subject_sex	stem	1st_option	2nd_option	option_chosen	nak_rating	nek_rating	nak_advantage	AGREE(back,nonlocal)	AGREE(nonhigh_front,local)	AGREE(low_front,local)	AGREE(double_front,local)	USE_FRONT/bilabial__	USE_FRONT/[+cor,+son]__	USE_FRONT/sibilant__	USE_FRONT/CC__	USE_BACK/[C0i:C0]__
3327	294	18	male	dagysék	dagyséknak	dagyséknek	nek	4	6	-2	1	1	0	0	0	0	0	0	0
3331	296	28	female	ocet	ocetnek	ocetnak	nek	3	5	-2	1	1	1	0	0	0	0	0	0
3333	296	28	female	zset	zsetnek	zsetnak	nek	2	6	-4	0	1	1	0	0	0	0	0	0
3368	298	54	male	tátamir	tátamirnek	tátamirnak	nak	7	1	6	1	0	0	0	0	1	0	0	0
3369	299	39	male	teg	tegnak	tegnek	nek	1	7	-6	0	1	1	0	0	0	0	0	0
3383	298	54	male	tozodit	tozoditnak	tozoditnek	nak	7	1	6	1	0	0	0	0	0	0	0	0
3387	299	39	male	szóráget	szórágetnek	szórágetnak	nak	7	1	6	1	1	1	0	0	0	0	0	0
3417	304	24	female	sánbánser	sánbánsernek	sánbánsernak	nek	1	6	-5	1	1	1	0	0	1	0	0	0
3419	304	24	female	komégyik	komégyiknak	komégyiknek	nek	4	6	-2	1	0	0	1	0	0	0	0	0
3420	304	24	female	ármenyte	ármenytének	ármenyténak	nek	3	5	-2	1	1	1	1	0	0	0	0	0
3435	305	18	male	nodi	nodinak	nodinek	nak	5	2	3	1	0	0	0	0	0	0	0	0
3440	305	18	male	ágéjtik	ágéjtiknek	ágéjtiknak	nak	4	4	0	1	0	0	1	0	0	0	0	0
3444	306	37	male	szakodev	szakodevnek	szakodevnak	nek	2	7	-5	1	1	1	0	0	0	0	0	0
3449	306	37	male	málemir	málemirnak	málemirnek	nak	7	6	1	1	0	0	1	0	1	0	0	0
3453	306	37	male	orene	orenének	orenénak	nek	3	7	-4	1	1	1	1	0	0	0	0	0
3478	308	19	female	teg	tegnek	tegnak	nek	1	7	-6	0	1	1	0	0	0	0	0	0
3481	308	19	female	honyé	honyének	honyénak	nak	7	1	6	1	1	0	0	0	0	0	0	0
3486	308	19	female	fárser	fársernek	fársernak	nak	7	1	6	1	1	1	0	0	1	0	0	0
3492	311	75	male	góttsit	góttsitnek	góttsitnak	nak	7	4	3	1	0	0	0	0	0	0	0	0
3499	311	75	male	lonyove	lonyovének	lonyovénak	nak	7	1	6	1	1	1	0	0	0	0	0	0
3508	311	75	male	sér	sérnak	sérnek	nek	1	7	-6	0	1	0	0	0	1	0	0	0
