Subject code:	2	7	12	13	14	15	16	17	18	68T	62T	52	50	47	41	40	85	138	133	132	131	122	117	100	97	144	145	146	147	148	Unnamed: 31	1	Unnamed: 33	3	8	19	20	21	22	55	54	63T	60T	39	71	72	73	89	90	140	139	130	114	109	108	98	95	149	150	151	152	153	Unnamed: 63	2.1	Unnamed: 65	1.1	10	23	24	25	26	27	28	61T	57	56	65T	45	74	75	88	141	129	125	103	99	96	154	155	156	157	158	Unnamed: 93	2.2	Unnamed: 95
RANYEL	nek	nek	nak	nek	nek	nak	nek	nak	nek	nek	nak	nek	nek	nek	nek	nek	nek	nak	nek	nek	nak	nek	nek	nek	nek	nak	7	19	26	nek	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	nek	nak	nek	nak	nek	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	nek	nek	nek	NOSUFFIXATTACHED	nek	nek	nek	nek	nek	2	24	29	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nak	nek	nek	nek	nek	nak	nek	nek	3	27	30	
UNYEG	nek	nek	nek	nek	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	1	25	26	nek	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nek	**et	nek	nek	nek	nek	nek	nek	nek	nek	nek	1	27	29	nek	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	NO SUFFIX ATTACHED	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	nek	NO SUFFIX ATTACHED	nek	nek	nek	nek	nek	nek	0	26	30	
VÁNÉL	nak	nak	nak	nak	nek	nek	nek	nak	nak	nek	nak	nak	nak	nek	nak	nak	nak	nek	nek	nak	nak	nek	nak	nak	nek	nak	17	9	26	nak	nak	nak	nak	nek	nek	nek	nek	nak	nak	nek	nak	nak	nak	nak	nek	nek	nak	nek	nek	nek	nek	nak	nak	nek	nek	nak	nek	nek	14	15	29	nek	nek	nek	nek	nek	nek	nak	nek	nek	nek	nek	nek	nek	nak	nek	nek	nek	nek	nak	nak	nak	nak	nek	BLANK	nek	nek	nek	nek	nek	nak	7	22	30	
VUSZÉK	nak	nek	nak	nek	nek	nek	nak	nak	nak	nek	nak	nek	nak	nak	nek	nek	nek	nek	nek	nek	nak	nak	nek	nak	nek	nak	12	14	26	nek	nek	nek	nek	nek	nak	nek	nek	nek	nak	nak	nek	nak	nek	nak	nek	nak	nek	nek	nek	nek	nek	nek	nek	nek	nak	nek	nek	nek	7	22	29	nek	nek	ILLEGIBLE	OTHERERROR	nak	nak	nek	nek	nak	nek	nek	nek	nak	nak	nek	nek	nek	nak	nek	nek	nak	nak	nak	nak	nak	nak	nak	nak	nak	nak	16	12	30	
	Version:	1		Version:	2		Version:	3																																																																																							
	nak	nek	n	nak	nek	n	nak	nek	n	raw nak	raw nek	%nak	%nek	#Valid Resp.	Spoiled	Total Resp.																																																																															
BONTEL	2	27	30	2	25	29	3	23	27	7	75	0.085	0.915	82	4	86																																																																															
CSÁDIK	27	0	30	29	0	29	26	1	27	82	1	0.988	0.012	83	3	86																																																																															
FÁNYEDEG	0	29	30	0	27	29	1	25	27	1	81	0.012	0.988	82	4	86																																																																															
GYÜLÜT	0	30	30	0	29	29	1	26	27	1	85	0.012	0.988	86	0	86																																																																															
HÁDÉL	16	14	30	5	23	29	2	25	27	23	62	0.271	0.729	85	1	86																																																																															
HÍNY	1	28	30	3	24	29	0	23	27	4	75	0.051	0.949	79	7	86																																																																															
KÁZEN	2	27	30	1	28	29	3	22	27	6	77	0.072	0.928	83	3	86																																																																															
KOLÉN	8	22	30	17	12	29	6	21	27	31	55	0.360	0.640	86	0	86																																																																															
LÁNYITÉG	2	24	30	6	22	29	3	24	27	11	70	0.136	0.864	81	5	86																																																																															
LUTEKER	1	29	30	0	29	29	0	27	27	1	85	0.012	0.988	86	0	86																																																																															
MONYIL	27	3	30	26	3	29	26	1	27	79	7	0.919	0.081	86	0	86																																																																															
ÓREL	2	24	30	1	27	29	2	25	27	5	76	0.062	0.938	81	5	86																																																																															
PORIBIT	9	20	30	10	16	29	9	18	27	28	54	0.341	0.659	82	4	86																																																																															
SZANDAT	29	1	30	28	0	29	26	1	27	83	2	0.976	0.024	85	1	86																																																																															
ZEFÉT	0	30	30	0	29	29	0	27	27	0	86	0.000	1.000	86	0	86																																																																															
	Version:	4		Version:	5		Version:	6																																																																																							
	nak	nek	n	nak	nek	n	nak	nek	n	raw nak	raw nek	%nak	%nek	#Valid Resp.	Spoiled	Total Resp.																																																																															
ÁLENDEL	0	26	26	1	26	29	0	30	30	1	82	0.012	0.988	83	2	85																																																																															
ÁNYIVÉL	0	25	26	1	28	29	0	30	30	1	83	0.012	0.988	84	1	85																																																																															
BORTOG	25	0	26	29	0	29	28	0	30	82	0	1.000	0.000	82	3	85																																																																															
CSÚLTEK	2	22	26	1	28	29	0	30	30	3	80	0.036	0.964	83	2	85																																																																															
HÖSÖG	0	25	26	0	27	29	0	27	30	0	79	0.000	1.000	79	6	85																																																																															
KÁNIT	25	0	26	29	0	29	29	1	30	83	1	0.988	0.012	84	1	85																																																																															
LOLIVIT	6	20	26	2	27	29	12	18	30	20	65	0.235	0.765	85	0	85																																																																															
MÓLETER	1	25	26	1	27	29	0	30	30	2	82	0.024	0.976	84	1	85																																																																															
NYÍS	0	25	26	3	23	29	3	25	30	6	73	0.076	0.924	79	6	85																																																																															
PETLÉR	0	26	26	0	29	29	0	30	30	0	85	0.000	1.000	85	0	85																																																																															
POZIN	22	4	26	27	2	29	29	1	30	78	7	0.918	0.082	85	0	85																																																																															
RANYEL	7	19	26	2	24	29	3	27	30	12	70	0.146	0.854	82	3	85																																																																															
UNYEG	1	25	26	1	27	29	0	26	30	2	78	0.025	0.975	80	5	85																																																																															
VÁNÉL	17	9	26	14	15	29	7	22	30	38	46	0.452	0.548	84	1	85																																																																															
VUSZÉK	12	14	26	7	22	29	16	12	30	35	48	0.422	0.578	83	2	85																																																																															
Order of Items on the Six Questionnaires																																																																																															
Questionnaire	1	2	3																																																																																												
BONTEL	6	10	12																																																																																												
CSÁDIK	14	3	13																																																																																												
FÁNYEDEG	9	14	7																																																																																												
GYÜLÜT	1	8	11																																																																																												
HÁDÉL	2	9	15																																																																																												
HÍNY	13	5	10																																																																																												
KÁZEN	8	15	14																																																																																												
KOLÉN	12	1	6																																																																																												
LÁNYITÉG	10	6	4																																																																																												
LUTEKER	3	12	5																																																																																												
MONYIL	11	4	1																																																																																												
ÓREL	7	2	9																																																																																												
PORIBIT	5	7	3																																																																																												
SZANDAT	4	13	8																																																																																												
ZEFÉT	15	11	2																																																																																												
																																																																																															
Questionnaire	4	5	6																																																																																												
ÁLENDEL	11	14	4																																																																																												
ÁNYIVÉL	10	1	9																																																																																												
BORTOG	1	4	12																																																																																												
CSÚLTEK	5	13	7																																																																																												
HÖSÖG	14	7	14																																																																																												
KÁNIT	2	3	8																																																																																												
LOLIVIT	4	12	2																																																																																												
MÓLETER	13	2	1																																																																																												
NYÍS	7	5	13																																																																																												
PETLÉR	9	8	6																																																																																												
POZIN	8	6	11																																																																																												
RANYEL	15	10	3																																																																																												
UNYEG	6	9	10																																																																																												
VÁNÉL	3	11	15																																																																																												
VUSZÉK	12	15	5																																																																																												
